Offense_ID,Offense,Classification
38,ASSAULT-AGGRAVATED: OTHER FIREARM,
39,BATTERY-AGGRAVATED PO: OTHER DANG WEAP,
40,WEAPONS VIOLATION-POSS FIREARM/AMMO:NO FOID CARD,
41,THEFT-RETAIL THEFT,
42,OFFENSE INVOLVING CHILDREN-CHILD ABDUCTION,
43,OFFENSE INVOLVING CHILDREN-ENDANGERING LIFE/HEALTH CHILD,
44,WEAPONS VIOLATION-UNLAWFUL USE HANDGUN,
45,BURGLARY-FORCIBLE ENTRY,
46,ROBBERY-ATTEMPT: STRONGARM-NO WEAPON,
47,BATTERY-AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,
48,BATTERY-PRO EMP HANDS NO/MIN INJURY,
49,ASSAULT-AGG PRO.EMP: OTHER DANG WEAPON,
50,OFFENSE INVOLVING CHILDREN-CHILD ABUSE,
51,ROBBERY-ATTEMPT: ARMED-OTHER FIREARM,
52,ARSON-BY FIRE,
53,ROBBERY-ARMED: OTHER FIREARM,
54,BATTERY-AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,
55,WEAPONS VIOLATION-UNLAWFUL POSS OTHER FIREARM,
56,THEFT-FROM BUILDING,
57,SEX OFFENSE-CRIMINAL SEXUAL ABUSE,
58,WEAPONS VIOLATION-UNLAWFUL POSS AMMUNITION,
59,ROBBERY-ATTEMPT: AGGRAVATED,
60,BATTERY-AGGRAVATED OF A SENIOR CITIZEN,
61,ARSON-ATTEMPT ARSON,
62,BATTERY-AGG PRO EMP HANDS SERIOUS INJ,
63,BURGLARY-UNLAWFUL ENTRY,
64,CRIM SEXUAL ASSAULT-AGGRAVATED: HANDGUN,
65,SEX OFFENSE-OTHER,
66,ASSAULT-AGGRAVATED PO: HANDGUN,
67,ROBBERY-ATTEMPT: ARMED-OTHER DANG WEAP,
68,OFFENSE INVOLVING CHILDREN-POS: PORNOGRAPHIC PRINT,
69,BATTERY-AGG: HANDS/FIST/FEET SERIOUS INJURY,
70,ARSON-POS: EXPLOSIVE/INCENDIARY DEV,
71,CRIM SEXUAL ASSAULT-ATTEMPT NON-AGGRAVATED,
72,BATTERY-AGGRAVATED: OTHER FIREARM,
73,ROBBERY-ATTEMPT: ARMED-KNIFE/CUT INSTR,
74,BATTERY-AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,
75,SEX OFFENSE-AGG CRIMINAL SEXUAL ABUSE,
76,CRIM SEXUAL ASSAULT-ATTEMPT AGG: OTHER,
77,HOMICIDE-SECOND DEGREE MURDER,
78,BATTERY-AGG PO HANDS ETC SERIOUS INJ,
79,OFFENSE INVOLVING CHILDREN-CONTRIBUTE CRIM DELINQUENCY JUVENILE,
80,HOMICIDE-RECKLESS HOMICIDE,
81,OFFENSE INVOLVING CHILDREN-CONTRIBUTE DELINQUENCY OF A CHILD,
82,ASSAULT-AGG PRO.EMP: OTHER FIREARM,
83,SEX OFFENSE-INDECENT SOLICITATION/CHILD,
84,ASSAULT-AGGRAVATED PO:KNIFE/CUT INSTR,
85,ARSON-AGGRAVATED,
86,BATTERY-AGG PRO.EMP:KNIFE/CUTTING INST,
87,BURGLARY-ATTEMPT FORCIBLE ENTRY,
88,BATTERY-AGGRAVATED PO: KNIFE/CUT INSTR,
89,ASSAULT-AGGRAVATED PO: OTHER FIREARM,
90,CRIM SEXUAL ASSAULT-AGGRAVATED: KNIFE/CUT INSTR,
91,CRIM SEXUAL ASSAULT-AGGRAVATED: OTHER,
92,BATTERY-AGGRAVATED OF A CHILD,
93,WEAPONS VIOLATION-DEFACE IDENT MARKS OF FIREARM,
94,BATTERY-AGGRAVATED OF A UNBORN CHILD,
95,BATTERY-AGGRAVATED DOMESTIC BATTERY: HANDGUN,
96,OFFENSE INVOLVING CHILDREN-HARBOR RUNAWAY,
97,ASSAULT-AGG PRO.EMP:KNIFE/CUTTING INST,
98,HOMICIDE-FIRST DEGREE MURDER,
