ObjectID,Offense,Day of week,Date,Time,Lattitude,Longitude
31,ASSAULT,Wednesday,12/30/2015,09:00,41.854864309,-87.724846958
32,BATTERY,Wednesday,12/30/2015,16:50,41.764682386,-87.663785792
33,THEFT,Thursday,12/31/2015,20:00,41.904442607,-87.661941839
34,THEFT,Wednesday,12/30/2015,21:00,41.896058183,-87.654804865
35,THEFT,Thursday,12/31/2015,20:00,41.913330126,-87.6726429
36,THEFT,Saturday,12/26/2015,18:00,41.944539064,-87.647648907
37,THEFT,Saturday,12/26/2015,01:15,41.881907051,-87.704628385
38,THEFT,Thursday,12/24/2015,00:01,41.899682405,-87.726214187
39,THEFT,Wednesday,12/30/2015,09:00,41.65125265,-87.537454574
40,ROBBERY,Thursday,12/31/2015,23:30,41.911108919,-87.773087417
41,THEFT,Thursday,12/31/2015,15:36,41.880555964,-87.64192187
42,THEFT,Sunday,12/27/2015,22:30,41.807068516,-87.750479736
43,THEFT,Sunday,12/27/2015,06:00,41.836428389,-87.72433908
44,BATTERY,Wednesday,12/30/2015,04:30,41.806625332,-87.703934484
45,THEFT,Thursday,12/31/2015,20:30,41.752864125,-87.584440569
46,THEFT,Thursday,12/31/2015,19:00,41.932294457,-87.685468046
47,THEFT,Thursday,12/31/2015,23:00,41.756094667,-87.644615424
48,BATTERY,Thursday,12/31/2015,14:20,41.990198328,-87.773302998
49,ROBBERY,Thursday,12/31/2015,22:10,41.922662343,-87.72616174
50,THEFT,Thursday,12/31/2015,23:45,41.888165132,-87.622937212
51,THEFT,Thursday,12/31/2015,20:00,41.789072518,-87.60496086
52,BATTERY,Thursday,12/31/2015,03:00,41.759292223,-87.647901899
53,THEFT,Thursday,12/31/2015,15:00,41.96891909,-87.719493509
54,WEAPONS VIOLATION,Thursday,12/31/2015,23:07,41.73866716,-87.64855362
55,BATTERY,Thursday,12/31/2015,23:55,41.751270452,-87.585822373
56,WEAPONS VIOLATION,Thursday,12/31/2015,20:23,41.675084692,-87.641815679
57,ROBBERY,Thursday,12/31/2015,20:00,41.968015993,-87.760873695
58,BATTERY,Tuesday,12/29/2015,22:00,41.720171149,-87.646826965
59,ASSAULT,Thursday,12/31/2015,16:20,41.763357176,-87.597000911
60,THEFT,Wednesday,12/30/2015,09:00,41.825298645,-87.6069609
61,BATTERY,Thursday,12/31/2015,16:24,41.763036021,-87.588475196
62,ASSAULT,Thursday,12/31/2015,19:45,41.711640975,-87.569712649
63,SEX OFFENSE,Thursday,12/31/2015,18:49,41.943906217,-87.779519668
64,THEFT,Thursday,12/31/2015,19:00,41.751256776,-87.606792121
65,THEFT,Wednesday,12/30/2015,18:00,41.844026941,-87.622100808
66,THEFT,Thursday,12/31/2015,13:20,41.764817814,-87.595822246
67,THEFT,Thursday,12/31/2015,16:30,41.884497529,-87.625838595
68,THEFT,Thursday,12/31/2015,13:30,41.925684458,-87.773838171
69,ROBBERY,Thursday,12/31/2015,16:40,41.749139052,-87.709696425
70,THEFT,Thursday,12/31/2015,15:00,41.777838795,-87.734946581
71,ASSAULT,Thursday,12/31/2015,15:00,41.952416375,-87.776751316
72,THEFT,Thursday,12/31/2015,12:30,41.690254625,-87.621021983
73,THEFT,Thursday,12/31/2015,00:00,41.802031713,-87.59049938
74,ROBBERY,Thursday,12/31/2015,02:55,41.854015399,-87.634514225
75,ASSAULT,Thursday,12/31/2015,15:30,41.692281606,-87.613361976
76,BATTERY,Thursday,12/31/2015,07:30,41.75906511,-87.560647478
77,THEFT,Thursday,12/31/2015,12:00,41.771785861,-87.641756824
78,ROBBERY,Thursday,12/31/2015,11:46,41.766105452,-87.662634666
79,THEFT,Monday,12/28/2015,15:00,41.944870277,-87.775159162
80,THEFT,Tuesday,12/29/2015,18:00,41.925857793,-87.695006589
81,ROBBERY,Thursday,12/31/2015,12:25,41.891569089,-87.763437251
82,THEFT,Thursday,12/31/2015,11:00,42.007229555,-87.661447148
83,ROBBERY,Thursday,12/31/2015,11:00,41.867551819,-87.659141229
84,ROBBERY,Thursday,12/31/2015,10:50,41.874071583,-87.674648259
85,THEFT,Tuesday,12/29/2015,19:00,41.668189482,-87.620471046
86,THEFT,Thursday,12/31/2015,09:30,41.721810028,-87.576555727
87,THEFT,Thursday,12/31/2015,00:01,41.964495979,-87.736777131
88,THEFT,Thursday,12/31/2015,11:00,41.826480161,-87.60632748
89,ASSAULT,Tuesday,12/29/2015,22:00,41.853729318,-87.697199858
90,ASSAULT,Thursday,12/31/2015,11:35,41.846929597,-87.69040029
91,THEFT,Wednesday,12/30/2015,19:00,41.860396443,-87.707933763
92,THEFT,Wednesday,12/30/2015,21:00,41.928349655,-87.642857579
93,THEFT,Thursday,12/31/2015,00:01,41.743528707,-87.578257475
94,THEFT,Tuesday,12/22/2015,10:00,41.887446958,-87.712058654
95,ROBBERY,Tuesday,12/22/2015,01:00,41.758970818,-87.624778076
96,ROBBERY,Thursday,12/31/2015,00:10,41.679244262,-87.637129451
97,THEFT,Saturday,12/26/2015,19:16,41.755929033,-87.657389725
98,THEFT,Wednesday,12/30/2015,22:30,41.900893574,-87.720711151
99,THEFT,Wednesday,12/30/2015,20:00,41.68098439,-87.629953941
100,THEFT,Monday,12/21/2015,09:00,41.81811276,-87.60674129
101,BATTERY,Thursday,12/31/2015,03:15,41.879637902,-87.736054156
102,THEFT,Saturday,12/26/2015,21:00,41.75319928,-87.653808492
103,THEFT,Thursday,12/24/2015,19:00,41.954494653,-87.723966372
104,ROBBERY,Thursday,12/31/2015,02:30,41.875413319,-87.714069875
105,ASSAULT,Thursday,12/31/2015,02:00,41.912162426,-87.727627964
106,ROBBERY,Thursday,12/31/2015,02:00,41.888530155,-87.648696251
107,THEFT,Thursday,12/31/2015,00:20,41.89972788,-87.666156654
108,BATTERY,Wednesday,12/30/2015,23:10,41.682771727,-87.668819987
109,BATTERY,Thursday,12/31/2015,00:34,41.916180308,-87.635805796
110,ROBBERY,Wednesday,12/30/2015,19:30,41.876865939,-87.743434805
111,WEAPONS VIOLATION,Wednesday,12/30/2015,21:07,41.755462271,-87.708242523
112,ASSAULT,Wednesday,12/30/2015,22:12,41.964748236,-87.701847412
113,BATTERY,Wednesday,12/30/2015,18:45,41.80866008,-87.604353876
114,ROBBERY,Wednesday,12/30/2015,20:05,41.997423281,-87.707333347
115,THEFT,Tuesday,12/29/2015,15:30,41.743553697,-87.609865368
116,WEAPONS VIOLATION,Wednesday,12/30/2015,19:50,41.879888156,-87.766478721
117,ROBBERY,Wednesday,12/30/2015,18:30,41.747705661,-87.550394781
118,THEFT,Tuesday,12/29/2015,21:00,41.78335683,-87.790025857
119,ROBBERY,Wednesday,12/30/2015,17:00,41.822208559,-87.60305923
120,THEFT,Wednesday,12/30/2015,02:30,41.901189742,-87.667434438
121,THEFT,Tuesday,12/29/2015,17:00,41.910029055,-87.7655435
122,THEFT,Wednesday,12/30/2015,18:45,41.906309742,-87.671102583
123,THEFT,Monday,12/28/2015,22:30,41.837862186,-87.621915865
124,THEFT,Wednesday,12/30/2015,18:40,41.706567182,-87.670131443
125,WEAPONS VIOLATION,Wednesday,12/30/2015,19:04,41.772433972,-87.647325758
126,ASSAULT,Wednesday,12/30/2015,16:22,41.731118301,-87.608411262
127,THEFT,Wednesday,12/30/2015,16:00,41.903774032,-87.679717307
128,BATTERY,Wednesday,12/30/2015,15:53,41.777423832,-87.648368783
129,THEFT,Friday,12/25/2015,21:00,41.914802204,-87.694675876
130,THEFT,Wednesday,12/30/2015,09:30,41.774531367,-87.603362034
131,ROBBERY,Wednesday,12/30/2015,15:15,41.866604054,-87.686645691
132,ROBBERY,Wednesday,12/30/2015,15:00,41.860116574,-87.714019255
133,BATTERY,Tuesday,12/29/2015,23:00,41.791492897,-87.675446702
134,THEFT,Tuesday,12/29/2015,21:00,41.814067397,-87.599355017
135,THEFT,Tuesday,12/29/2015,22:00,41.776176493,-87.706270666
136,BATTERY,Wednesday,12/30/2015,13:00,41.866196509,-87.723513299
137,THEFT,Saturday,12/26/2015,17:00,41.891527458,-87.662279107
138,THEFT,Monday,12/28/2015,23:00,41.942770267,-87.792214317
139,THEFT,Tuesday,12/29/2015,23:00,41.78308398,-87.735106809
140,THEFT,Tuesday,12/29/2015,20:00,41.81991376,-87.602535007
141,BATTERY,Wednesday,12/30/2015,13:12,41.883893536,-87.738034295
142,THEFT,Tuesday,12/29/2015,21:30,41.769022335,-87.620206266
143,THEFT,Wednesday,12/30/2015,09:00,41.909374789,-87.685975384
144,THEFT,Wednesday,12/30/2015,00:00,41.914245621,-87.727689097
145,BATTERY,Wednesday,12/30/2015,09:05,41.740330388,-87.6583228
146,THEFT,Wednesday,12/30/2015,12:50,41.772285481,-87.625115462
147,THEFT,Wednesday,12/30/2015,05:30,41.992840571,-87.688510886
148,THEFT,Monday,12/28/2015,10:00,41.882104019,-87.684778173
149,THEFT,Tuesday,12/29/2015,18:30,41.735915452,-87.712967967
150,THEFT,Wednesday,12/30/2015,11:00,41.888778301,-87.632512191
151,THEFT,Monday,12/28/2015,01:00,41.781870179,-87.597859754
152,THEFT,Wednesday,12/30/2015,00:00,41.708738371,-87.610149648
153,ASSAULT,Wednesday,12/30/2015,09:40,41.78532937,-87.700883134
154,ROBBERY,Tuesday,12/29/2015,21:50,41.89368433,-87.710484987
155,THEFT,Tuesday,12/29/2015,07:15,41.746523677,-87.636611928
156,THEFT,Tuesday,12/29/2015,22:00,41.853953807,-87.622244109
157,THEFT,Wednesday,12/30/2015,00:01,41.917114841,-87.654368752
158,THEFT,Wednesday,12/30/2015,07:30,41.830615654,-87.656142227
159,BATTERY,Tuesday,12/29/2015,19:05,41.766212611,-87.643194942
160,THEFT,Thursday,12/24/2015,16:00,41.76587359,-87.576294705
161,THEFT,Wednesday,12/30/2015,02:00,41.879116997,-87.757646932
162,THEFT,Tuesday,12/29/2015,18:45,41.923097164,-87.727954477
163,BATTERY,Wednesday,12/30/2015,03:00,41.903935719,-87.6290881
164,BATTERY,Wednesday,12/30/2015,00:30,41.693126882,-87.635160035
165,THEFT,Wednesday,12/30/2015,01:50,41.735720069,-87.668226842
166,ROBBERY,Wednesday,12/30/2015,00:05,41.979901242,-87.708781202
167,THEFT,Tuesday,12/29/2015,23:06,41.73527097,-87.66792005
168,ROBBERY,Tuesday,12/29/2015,22:00,41.915757435,-87.720400009
169,ROBBERY,Tuesday,12/29/2015,22:30,41.659183719,-87.553861272
170,BATTERY,Tuesday,12/29/2015,22:28,41.778302329,-87.684835221
171,THEFT,Tuesday,12/29/2015,19:00,41.896175894,-87.66082001
172,ROBBERY,Tuesday,12/29/2015,22:27,41.955251103,-87.649721553
173,ASSAULT,Tuesday,12/29/2015,21:45,41.694752364,-87.699717154
174,BATTERY,Tuesday,12/29/2015,18:30,41.775970586,-87.61311964
175,THEFT,Tuesday,12/29/2015,01:00,41.920549666,-87.748977836
176,THEFT,Tuesday,12/29/2015,03:00,41.976062697,-87.701367887
177,THEFT,Monday,12/28/2015,22:45,41.986755468,-87.699625337
178,ASSAULT,Tuesday,12/29/2015,10:10,41.747401022,-87.556455913
179,THEFT,Tuesday,12/29/2015,09:00,41.837356939,-87.698173016
180,BATTERY,Tuesday,12/29/2015,17:35,41.695176989,-87.650706772
181,ROBBERY,Tuesday,12/29/2015,15:25,41.868666808,-87.743036575
182,THEFT,Tuesday,12/29/2015,17:30,41.907794034,-87.673427375
183,THEFT,Thursday,12/24/2015,10:00,41.896341861,-87.722440573
184,THEFT,Tuesday,12/29/2015,16:40,41.743307923,-87.647196164
185,THEFT,Tuesday,12/29/2015,13:45,41.9090189,-87.677422819
186,ASSAULT,Tuesday,12/22/2015,15:00,41.796810166,-87.669520925
187,ROBBERY,Tuesday,12/29/2015,13:00,41.747014627,-87.603846064
188,THEFT,Monday,12/28/2015,21:00,41.752519908,-87.606477362
189,THEFT,Tuesday,12/29/2015,01:00,41.747077049,-87.591734208
190,THEFT,Tuesday,12/29/2015,05:00,41.904931589,-87.759736749
191,ASSAULT,Tuesday,12/29/2015,12:00,41.877391241,-87.700354449
192,BATTERY,Tuesday,12/29/2015,04:40,41.900537169,-87.647939877
193,THEFT,Wednesday,12/23/2015,22:00,41.760705956,-87.575442797
194,THEFT,Tuesday,12/29/2015,10:00,41.79576708,-87.58088648
195,THEFT,Sunday,12/27/2015,17:00,41.940387355,-87.767542077
196,THEFT,Thursday,12/24/2015,14:30,41.908341777,-87.631585552
197,THEFT,Monday,12/28/2015,18:30,41.704031198,-87.636697329
198,THEFT,Monday,12/21/2015,04:30,41.757900544,-87.610243024
199,THEFT,Tuesday,12/29/2015,01:00,41.797534234,-87.676129394
200,THEFT,Monday,12/28/2015,18:30,41.972565417,-87.724511248
201,ASSAULT,Tuesday,12/29/2015,02:40,41.936584021,-87.68407211
202,THEFT,Tuesday,12/29/2015,00:01,41.873659944,-87.686233099
203,THEFT,Tuesday,12/29/2015,00:01,41.948080543,-87.654356395
204,THEFT,Monday,12/28/2015,21:00,41.867345159,-87.77002594
205,THEFT,Tuesday,12/29/2015,06:00,41.805912623,-87.684351458
206,ROBBERY,Thursday,12/24/2015,14:26,41.748536319,-87.60146885
207,THEFT,Monday,12/28/2015,21:00,41.899968354,-87.667399375
208,THEFT,Tuesday,12/29/2015,03:00,41.981589242,-87.765930648
209,THEFT,Monday,12/28/2015,18:30,41.69486143,-87.719817923
210,THEFT,Wednesday,12/23/2015,00:01,41.917256686,-87.643634856
211,THEFT,Tuesday,12/29/2015,01:30,41.979794685,-87.765961291
212,ASSAULT,Tuesday,12/29/2015,03:30,41.874033297,-87.677068331
213,THEFT,Monday,12/28/2015,16:30,41.89875558,-87.626566464
214,BATTERY,Tuesday,12/29/2015,03:45,41.926315836,-87.702910069
215,BATTERY,Tuesday,12/29/2015,01:15,41.728509346,-87.628849615
216,BATTERY,Tuesday,12/29/2015,00:11,41.73271665,-87.554082971
217,ROBBERY,Saturday,12/26/2015,02:00,41.759737982,-87.607869329
218,BATTERY,Tuesday,12/29/2015,01:40,41.747287044,-87.691333146
219,WEAPONS VIOLATION,Monday,12/28/2015,23:19,41.737836084,-87.647708744
220,THEFT,Monday,12/28/2015,19:10,41.744773909,-87.612325115
221,BATTERY,Monday,12/28/2015,15:30,41.777967289,-87.615568353
222,THEFT,Monday,12/28/2015,01:00,41.955841635,-87.769537743
223,BATTERY,Monday,12/28/2015,18:40,41.895816556,-87.755623755
224,WEAPONS VIOLATION,Monday,12/28/2015,19:35,41.684339534,-87.656726425
225,THEFT,Monday,12/28/2015,16:15,41.929019789,-87.653062881
226,THEFT,Sunday,12/27/2015,23:00,41.79221937,-87.683994549
227,THEFT,Saturday,12/26/2015,08:00,41.940348135,-87.663836801
228,ASSAULT,Monday,12/28/2015,17:32,41.736259374,-87.627075877
229,THEFT,Monday,12/28/2015,13:10,41.879202837,-87.626113652
230,ROBBERY,Monday,12/28/2015,13:40,41.893982855,-87.762097225
231,ROBBERY,Monday,12/28/2015,15:54,41.884473865,-87.74360353
232,THEFT,Monday,12/28/2015,15:00,41.851560833,-87.723927618
233,THEFT,Monday,12/28/2015,00:00,41.887999573,-87.774196498
234,BATTERY,Monday,12/28/2015,15:50,41.822693681,-87.611209466
235,THEFT,Saturday,12/26/2015,17:00,41.886735874,-87.652465
236,THEFT,Monday,12/28/2015,13:10,41.800260379,-87.735610903
237,THEFT,Wednesday,12/23/2015,17:00,41.833874394,-87.670477429
238,THEFT,Monday,12/28/2015,17:20,41.873480317,-87.624208705
239,THEFT,Sunday,12/27/2015,18:00,41.882839503,-87.702019291
240,THEFT,Monday,12/28/2015,15:20,41.741493245,-87.707648848
241,THEFT,Monday,12/21/2015,15:00,41.899410159,-87.624131266
242,THEFT,Sunday,12/27/2015,19:00,41.873907386,-87.757991096
243,THEFT,Monday,12/28/2015,00:00,41.866996231,-87.62741936
244,THEFT,Monday,12/28/2015,12:45,41.879886887,-87.629359567
245,THEFT,Sunday,12/27/2015,10:00,41.90551177,-87.673590473
246,THEFT,Sunday,12/27/2015,22:00,41.763547896,-87.565351419
247,THEFT,Saturday,12/26/2015,21:00,41.784732216,-87.646127681
248,THEFT,Sunday,12/27/2015,15:00,41.877469064,-87.648395724
249,THEFT,Sunday,12/27/2015,15:00,41.974893932,-87.69054175
250,THEFT,Sunday,12/27/2015,22:00,41.763066846,-87.623248524
251,THEFT,Sunday,12/27/2015,11:32,41.721394792,-87.648612493
252,THEFT,Sunday,12/20/2015,21:00,41.974264709,-87.843984516
253,THEFT,Sunday,12/20/2015,09:00,41.75416291,-87.550382277
254,THEFT,Friday,12/25/2015,07:00,41.865313855,-87.720092741
255,THEFT,Monday,12/28/2015,02:30,41.750850677,-87.562578351
256,BATTERY,Friday,12/25/2015,12:00,41.743557554,-87.601375156
257,THEFT,Wednesday,12/23/2015,18:15,41.922450447,-87.635737508
258,THEFT,Sunday,12/27/2015,08:00,42.002795364,-87.663395916
259,ROBBERY,Sunday,12/27/2015,22:30,41.830303694,-87.682886958
260,THEFT,Sunday,12/27/2015,14:00,41.737814066,-87.624186291
261,THEFT,Friday,12/25/2015,17:00,41.776886079,-87.718747164
262,THEFT,Sunday,12/27/2015,18:00,41.75037215,-87.662127829
263,BATTERY,Sunday,12/27/2015,20:05,41.770527154,-87.653405695
264,THEFT,Sunday,12/27/2015,09:00,41.749423818,-87.607263538
265,THEFT,Sunday,12/27/2015,15:00,41.957459538,-87.653308301
266,ROBBERY,Monday,12/28/2015,06:20,41.758970818,-87.624778076
267,THEFT,Monday,12/28/2015,06:00,41.943411038,-87.726089896
268,THEFT,Sunday,12/27/2015,18:00,41.956087835,-87.712980657
269,BATTERY,Monday,12/28/2015,04:30,41.775709694,-87.640761478
270,BATTERY,Monday,12/28/2015,01:35,41.774645533,-87.682162834
271,ASSAULT,Sunday,12/27/2015,19:50,41.712423064,-87.620099717
272,BATTERY,Sunday,12/27/2015,04:00,41.924781923,-87.761094988
273,THEFT,Sunday,12/27/2015,20:00,41.838799701,-87.695072506
274,ROBBERY,Sunday,12/27/2015,18:50,41.871730951,-87.71669758
275,THEFT,Sunday,12/27/2015,18:00,41.905545935,-87.683431561
276,BATTERY,Sunday,12/27/2015,20:16,41.771370289,-87.665208261
277,THEFT,Sunday,12/27/2015,21:20,41.874520022,-87.754846231
278,WEAPONS VIOLATION,Sunday,12/27/2015,20:15,41.845751204,-87.705077919
279,BATTERY,Sunday,12/27/2015,17:35,41.900348864,-87.762521688
280,THEFT,Saturday,12/26/2015,22:00,41.770711832,-87.58257605
281,ROBBERY,Sunday,12/27/2015,18:28,41.746528618,-87.624409206
282,THEFT,Sunday,12/27/2015,14:45,41.877517962,-87.689091344
283,BATTERY,Sunday,12/27/2015,15:15,41.807583099,-87.669802194
284,BATTERY,Sunday,12/27/2015,17:25,41.768945319,-87.573930849
285,THEFT,Sunday,12/27/2015,00:30,41.992486727,-87.776634099
286,THEFT,Sunday,12/27/2015,16:00,41.795242798,-87.654893803
287,THEFT,Sunday,12/27/2015,00:01,41.970609768,-87.71953979
288,THEFT,Saturday,12/26/2015,18:00,41.91068922,-87.695774944
289,THEFT,Monday,12/21/2015,19:30,41.757614433,-87.586115266
290,ROBBERY,Sunday,12/27/2015,16:05,41.869790358,-87.770599257
291,THEFT,Sunday,12/27/2015,13:00,41.755501774,-87.636855678
292,THEFT,Sunday,12/27/2015,14:40,41.847396072,-87.678731657
293,THEFT,Saturday,12/26/2015,21:00,41.975743027,-87.752548319
294,THEFT,Saturday,12/26/2015,18:45,41.7797436,-87.609565055
295,THEFT,Saturday,12/26/2015,19:00,41.882831487,-87.633855122
296,THEFT,Sunday,12/27/2015,13:00,41.881713034,-87.75327943
297,THEFT,Sunday,12/27/2015,02:00,41.88360569,-87.707634031
298,THEFT,Saturday,12/26/2015,22:00,41.879734548,-87.644056852
299,THEFT,Saturday,12/26/2015,18:00,41.705042318,-87.648771375
300,ROBBERY,Saturday,12/26/2015,20:30,41.845267108,-87.626953617
301,ASSAULT,Sunday,12/27/2015,10:50,41.898351661,-87.733565727
302,THEFT,Saturday,12/26/2015,11:30,41.766162203,-87.571383105
303,ROBBERY,Sunday,12/27/2015,05:15,41.894301538,-87.721156134
304,THEFT,Sunday,12/27/2015,01:00,41.747318382,-87.562521662
305,THEFT,Sunday,12/27/2015,01:00,41.935335627,-87.655153142
306,THEFT,Saturday,12/26/2015,22:00,41.984830363,-87.713437327
307,THEFT,Sunday,12/27/2015,00:01,41.766159187,-87.65171433
308,THEFT,Sunday,12/27/2015,05:00,41.753906366,-87.611358003
309,THEFT,Saturday,12/26/2015,19:00,41.890728191,-87.68266361
310,THEFT,Saturday,12/26/2015,21:00,41.996254158,-87.700807641
311,THEFT,Sunday,12/27/2015,02:00,41.797464447,-87.729409683
312,THEFT,Sunday,12/27/2015,02:00,41.703302989,-87.708608815
313,THEFT,Sunday,12/27/2015,00:30,41.873981228,-87.751946738
314,THEFT,Saturday,12/26/2015,22:00,41.976229855,-87.791500882
315,THEFT,Saturday,12/26/2015,19:00,41.917532812,-87.750952708
316,ASSAULT,Sunday,12/27/2015,02:29,41.903906616,-87.63105739
317,BATTERY,Sunday,12/27/2015,02:50,41.80334033,-87.624307781
318,THEFT,Saturday,12/26/2015,23:30,41.853930752,-87.623841071
319,ROBBERY,Sunday,12/27/2015,05:37,41.879285729,-87.641524294
320,BATTERY,Sunday,12/27/2015,04:17,41.784507232,-87.661914922
321,BATTERY,Sunday,12/27/2015,02:27,41.969042448,-87.658358932
322,ROBBERY,Sunday,12/27/2015,02:00,41.793960961,-87.58840695
323,THEFT,Saturday,12/26/2015,22:00,41.97636199,-87.793919639
324,THEFT,Sunday,12/27/2015,00:35,41.809996795,-87.616604776
325,WEAPONS VIOLATION,Saturday,12/26/2015,20:50,41.898192554,-87.641816138
326,ASSAULT,Sunday,12/27/2015,00:45,41.787031282,-87.709498
327,ROBBERY,Saturday,12/26/2015,22:30,41.840893362,-87.645134428
328,WEAPONS VIOLATION,Saturday,12/26/2015,21:44,41.758090343,-87.633807628
329,THEFT,Saturday,12/26/2015,17:30,41.799978827,-87.606344711
330,BATTERY,Saturday,12/26/2015,20:25,42.014467496,-87.687530749
331,ROBBERY,Thursday,12/24/2015,21:12,41.893649369,-87.714169216
332,ROBBERY,Saturday,12/26/2015,19:50,41.788951166,-87.699765805
333,THEFT,Saturday,12/26/2015,18:30,41.790872026,-87.606143261
334,ROBBERY,Saturday,12/26/2015,15:05,41.815224411,-87.68588989
335,THEFT,Thursday,12/24/2015,17:50,41.914144227,-87.635827967
336,ROBBERY,Saturday,12/26/2015,06:00,41.897909836,-87.72005647
337,THEFT,Saturday,12/26/2015,16:00,41.92384641,-87.646521939
338,THEFT,Friday,12/18/2015,17:00,41.75370196,-87.650185959
339,THEFT,Tuesday,12/22/2015,16:00,41.743557554,-87.601375156
340,ROBBERY,Saturday,12/26/2015,16:30,41.84530612,-87.707497201
341,ASSAULT,Saturday,12/26/2015,16:39,41.896620292,-87.632341979
342,ASSAULT,Saturday,12/26/2015,15:00,41.764682386,-87.663785792
343,THEFT,Friday,12/25/2015,00:01,41.975576848,-87.796783744
344,ASSAULT,Saturday,12/26/2015,13:25,41.705955597,-87.648673795
345,THEFT,Saturday,12/26/2015,11:30,41.768571856,-87.726161646
346,THEFT,Saturday,12/26/2015,00:00,41.937941904,-87.7173502
347,THEFT,Friday,12/25/2015,23:00,41.938719379,-87.816547044
348,ROBBERY,Saturday,12/26/2015,14:15,41.902201619,-87.645427869
349,THEFT,Thursday,12/24/2015,13:00,41.902201619,-87.645427869
350,THEFT,Friday,12/18/2015,00:00,41.947746095,-87.807093042
351,THEFT,Saturday,12/26/2015,03:00,41.737017804,-87.690347244
352,THEFT,Friday,12/25/2015,23:00,41.94360281,-87.650331196
353,ROBBERY,Saturday,12/26/2015,09:30,41.89771322,-87.721266802
354,BATTERY,Saturday,12/26/2015,12:30,41.870972499,-87.704361047
355,THEFT,Friday,12/25/2015,19:00,41.886288459,-87.769969735
356,THEFT,Friday,12/25/2015,20:00,41.905220087,-87.674886559
357,THEFT,Friday,12/25/2015,19:00,41.886342657,-87.711852679
358,THEFT,Wednesday,12/23/2015,02:00,41.865332001,-87.624104181
359,THEFT,Thursday,12/24/2015,22:00,41.814575995,-87.727502825
360,THEFT,Friday,12/25/2015,22:00,41.957373784,-87.721986708
361,THEFT,Friday,12/25/2015,20:00,41.884771718,-87.755227496
362,THEFT,Wednesday,12/23/2015,09:00,41.910540251,-87.64341693
363,THEFT,Friday,12/25/2015,22:00,41.972594132,-87.684173552
364,THEFT,Friday,12/25/2015,23:00,41.752563264,-87.58333363
365,THEFT,Friday,12/25/2015,23:00,41.727771971,-87.659183296
366,THEFT,Saturday,12/26/2015,04:00,41.908190024,-87.674047826
367,THEFT,Saturday,12/26/2015,08:30,41.950690132,-87.739479179
368,THEFT,Friday,12/25/2015,13:00,41.756617188,-87.562688944
369,ASSAULT,Saturday,12/26/2015,00:30,41.767685849,-87.5698145
370,THEFT,Friday,12/25/2015,15:00,41.871026371,-87.684934224
371,THEFT,Saturday,12/26/2015,07:25,41.871026371,-87.684934224
372,BATTERY,Saturday,12/26/2015,01:00,41.915370126,-87.79009807
373,ROBBERY,Saturday,12/26/2015,05:00,41.875066021,-87.741362098
374,BATTERY,Saturday,12/26/2015,03:41,41.938290021,-87.787801241
375,BATTERY,Saturday,12/26/2015,02:10,41.800863342,-87.664766276
376,ASSAULT,Saturday,12/26/2015,04:10,41.899860937,-87.716460079
377,THEFT,Friday,12/25/2015,15:00,41.873875151,-87.687413227
