Offense_ID,Offense,Classification
142,larceny,ROBBERY
143,robbery,ROBBERY
144,robbery,ROBBERY
145,larceny,ROBBERY
146,aggravated-assault,ROBBERY
147,larceny,ROBBERY
148,larceny,ROBBERY
149,larceny,ROBBERY
150,robbery,ROBBERY
151,larceny,ROBBERY
152,aggravated-assault,ROBBERY
153,larceny,ROBBERY
154,larceny,ROBBERY
155,aggravated-assault,ROBBERY
156,larceny,ROBBERY
157,larceny,ROBBERY
158,larceny,ROBBERY
159,larceny,ROBBERY
160,larceny,ROBBERY
161,larceny,ROBBERY
162,robbery,ROBBERY
163,larceny,ROBBERY
164,larceny,ROBBERY
165,robbery,ROBBERY
166,robbery,ROBBERY
167,robbery,ROBBERY
168,robbery,ROBBERY
169,larceny,ROBBERY
170,larceny,ROBBERY
171,larceny,ROBBERY
172,larceny,ROBBERY
173,larceny,ROBBERY
174,aggravated-assault,ASSAULT
175,larceny,ROBBERY
176,larceny,ROBBERY
177,larceny,ROBBERY
178,larceny,ROBBERY
179,robbery,ROBBERY
180,robbery,ROBBERY
181,robbery,ROBBERY
182,larceny,ROBBERY
183,robbery,ROBBERY
184,larceny,ROBBERY
185,larceny,ROBBERY
186,larceny,ROBBERY
187,larceny,ROBBERY
188,larceny,ROBBERY
189,larceny,ROBBERY
190,aggravated-assault,ASSAULT
191,larceny,ROBBERY
192,larceny,ROBBERY
193,larceny,ROBBERY
194,larceny,ROBBERY
195,larceny,ROBBERY
196,larceny,ROBBERY
197,larceny,ROBBERY
198,larceny,ROBBERY
199,larceny,ROBBERY
200,larceny,ROBBERY
201,larceny,ROBBERY
202,larceny,ROBBERY
203,robbery,ROBBERY
204,larceny,ROBBERY
205,robbery,ROBBERY
206,larceny,ROBBERY
207,aggravated-assault,ASSAULT
208,robbery,ROBBERY
209,larceny,ROBBERY
210,larceny,ROBBERY
211,larceny,ROBBERY
212,robbery,ROBBERY
213,larceny,ROBBERY
214,larceny,ROBBERY
215,larceny,ROBBERY
216,larceny,ROBBERY
217,larceny,ROBBERY
218,aggravated-assault,ASSAULT
219,larceny,ROBBERY
220,larceny,ROBBERY
221,larceny,ROBBERY
222,larceny,ROBBERY
223,larceny,ROBBERY
224,larceny,ROBBERY
225,robbery,ROBBERY
226,larceny,ROBBERY
227,larceny,ROBBERY
228,larceny,ROBBERY
229,larceny,ROBBERY
230,larceny,ROBBERY
231,larceny,ROBBERY
232,larceny,ROBBERY
233,larceny,ROBBERY
234,aggravated-assault,ASSAULT
235,larceny,ROBBERY
236,aggravated-assault,ASSAULT
237,aggravated-assault,ROBBERY
238,larceny,ROBBERY
239,robbery,ROBBERY
240,larceny,ROBBERY
241,larceny,ROBBERY
242,larceny,ROBBERY
243,larceny,ROBBERY
244,larceny,ROBBERY
245,larceny,ROBBERY
246,aggravated-assault,ASSAULT
247,larceny,ROBBERY
248,larceny,ROBBERY
249,larceny,ROBBERY
250,aggravated-assault,ROBBERY
251,aggravated-assault,ROBBERY
252,robbery,ROBBERY
253,larceny,ROBBERY
254,larceny,ROBBERY
255,larceny,ROBBERY
256,larceny,ROBBERY
257,larceny,ROBBERY
258,larceny,ROBBERY
259,robbery,ROBBERY
260,larceny,ROBBERY
261,larceny,ROBBERY
262,larceny,ROBBERY
263,larceny,ROBBERY
264,larceny,ROBBERY
265,larceny,ROBBERY
266,larceny,ROBBERY
267,robbery,ROBBERY
268,aggravated-assault,ROBBERY
269,larceny,ROBBERY
270,larceny,ROBBERY
271,larceny,ROBBERY
272,larceny,ROBBERY
273,larceny,ROBBERY
274,larceny,ROBBERY
275,larceny,ROBBERY
276,larceny,ROBBERY
277,larceny,ROBBERY
278,larceny,ROBBERY
279,larceny,ROBBERY
280,larceny,ROBBERY
281,larceny,ROBBERY
282,larceny,ROBBERY
283,larceny,ROBBERY
284,larceny,ROBBERY
285,larceny,ROBBERY
286,larceny,ROBBERY
287,larceny,ROBBERY
288,larceny,ROBBERY
289,aggravated-assault,ASSAULT
290,larceny,ROBBERY
291,larceny,ROBBERY
292,murder,ROBBERY
293,larceny,ROBBERY
294,larceny,ROBBERY
295,larceny,ROBBERY
296,larceny,ROBBERY
297,larceny,ROBBERY
298,larceny,ROBBERY
299,larceny,ROBBERY
300,larceny,ROBBERY
301,aggravated-assault,ASSAULT
302,larceny,ROBBERY
303,larceny,ROBBERY
304,larceny,ROBBERY
305,aggravated-assault,ASSAULT
306,larceny,ROBBERY
307,larceny,ROBBERY
308,aggravated-assault,ROBBERY
309,larceny,ROBBERY
310,larceny,ROBBERY
311,larceny,ROBBERY
312,robbery,ROBBERY
313,aggravated-assault,ASSAULT
314,larceny,ROBBERY
315,robbery,ROBBERY
316,larceny,ROBBERY
317,larceny,ROBBERY
318,larceny,ROBBERY
319,larceny,ROBBERY
320,larceny,ROBBERY
321,larceny,ROBBERY
322,aggravated-assault,ASSAULT
323,larceny,ROBBERY
324,larceny,ROBBERY
325,aggravated-assault,ASSAULT
326,robbery,ROBBERY
327,larceny,ROBBERY
328,larceny,ROBBERY
329,larceny,ROBBERY
330,robbery,ROBBERY
331,aggravated-assault,ROBBERY
332,aggravated-assault,ROBBERY
333,larceny,ROBBERY
334,larceny,ROBBERY
335,larceny,ROBBERY
336,larceny,ROBBERY
337,larceny,ROBBERY
338,larceny,ROBBERY
339,robbery,ROBBERY
340,robbery,ROBBERY
341,larceny,ROBBERY
342,larceny,ROBBERY
343,larceny,ROBBERY
344,larceny,ROBBERY
345,larceny,ROBBERY
346,robbery,ROBBERY
347,larceny,ROBBERY
348,aggravated-assault,ASSAULT
349,larceny,ROBBERY
350,robbery,ROBBERY
351,larceny,ROBBERY
352,larceny,ROBBERY
353,larceny,ROBBERY
354,larceny,ROBBERY
355,larceny,ROBBERY
356,murder,ROBBERY
357,aggravated-assault,ROBBERY
358,larceny,ROBBERY
359,robbery,ROBBERY
360,larceny,ROBBERY
361,robbery,ROBBERY
362,larceny,ROBBERY
363,larceny,ROBBERY
364,aggravated-assault,ASSAULT
365,larceny,ROBBERY
366,aggravated-assault,ASSAULT
367,larceny,ROBBERY
368,aggravated-assault,ROBBERY
369,larceny,ROBBERY
370,aggravated-assault,ASSAULT
371,larceny,ROBBERY
372,larceny,ROBBERY
373,robbery,ROBBERY
374,larceny,ROBBERY
375,larceny,ROBBERY
376,larceny,ROBBERY
377,larceny,ROBBERY
378,aggravated-assault,ASSAULT
379,larceny,ROBBERY
380,larceny,ROBBERY
381,larceny,ROBBERY
382,aggravated-assault,ASSAULT
383,aggravated-assault,ROBBERY
384,larceny,ROBBERY
385,larceny,ROBBERY
386,larceny,ROBBERY
387,larceny,ROBBERY
388,larceny,ROBBERY
389,aggravated-assault,ASSAULT
390,larceny,ROBBERY
391,larceny,ROBBERY
392,larceny,ROBBERY
393,aggravated-assault,ROBBERY
394,larceny,ROBBERY
395,larceny,ROBBERY
396,larceny,ROBBERY
397,larceny,ROBBERY
398,larceny,ROBBERY
399,larceny,ROBBERY
400,larceny,ROBBERY
401,larceny,ROBBERY
402,larceny,ROBBERY
403,larceny,ROBBERY
404,larceny,ROBBERY
405,larceny,ROBBERY
406,larceny,ROBBERY
407,larceny,ROBBERY
408,robbery,ROBBERY
409,robbery,ROBBERY
410,robbery,ROBBERY
411,robbery,ROBBERY
412,larceny,ROBBERY
413,larceny,ROBBERY
414,robbery,ROBBERY
415,larceny,ROBBERY
416,larceny,ROBBERY
417,aggravated-assault,ROBBERY
418,larceny,ROBBERY
419,larceny,ROBBERY
420,aggravated-assault,ROBBERY
421,larceny,ROBBERY
422,larceny,ROBBERY
423,larceny,ROBBERY
424,larceny,ROBBERY
425,robbery,ROBBERY
426,aggravated-assault,ROBBERY
427,larceny,ROBBERY
428,larceny,ROBBERY
429,larceny,ROBBERY
430,larceny,ROBBERY
431,larceny,ROBBERY
432,aggravated-assault,ROBBERY
433,larceny,ROBBERY
434,larceny,ROBBERY
435,larceny,ROBBERY
436,larceny,ROBBERY
437,larceny,ROBBERY
438,larceny,ROBBERY
439,robbery,ROBBERY
440,robbery,ROBBERY
441,larceny,ROBBERY
442,larceny,ROBBERY
443,larceny,ROBBERY
444,larceny,ROBBERY
445,larceny,ROBBERY
446,larceny,ROBBERY
447,larceny,ROBBERY
448,larceny,ROBBERY
449,larceny,ROBBERY
450,robbery,ROBBERY
451,larceny,ROBBERY
452,larceny,ROBBERY
453,larceny,ROBBERY
454,robbery,ROBBERY
455,larceny,ROBBERY
456,robbery,ROBBERY
457,larceny,ROBBERY
458,larceny,ROBBERY
459,larceny,ROBBERY
460,larceny,ROBBERY
461,larceny,ROBBERY
462,larceny,ROBBERY
463,larceny,ROBBERY
464,larceny,ROBBERY
465,larceny,ROBBERY
466,larceny,ROBBERY
467,larceny,ROBBERY
468,larceny,ROBBERY
469,larceny,ROBBERY
470,aggravated-assault,ASSAULT
471,larceny,ROBBERY
472,larceny,ROBBERY
473,robbery,ROBBERY
474,larceny,ROBBERY
475,aggravated-assault,ASSAULT
476,larceny,ROBBERY
477,larceny,ROBBERY
478,larceny,ROBBERY
479,larceny,ROBBERY
480,larceny,ROBBERY
481,larceny,ROBBERY
482,larceny,ROBBERY
483,larceny,ROBBERY
484,robbery,ROBBERY
485,larceny,ROBBERY
486,larceny,ROBBERY
487,robbery,ROBBERY
488,larceny,ROBBERY
489,robbery,ROBBERY
490,larceny,ROBBERY
491,larceny,ROBBERY
492,larceny,ROBBERY
493,larceny,ROBBERY
494,larceny,ROBBERY
495,aggravated-assault,ROBBERY
496,larceny,ROBBERY
497,larceny,ROBBERY
498,larceny,ROBBERY
499,larceny,ROBBERY
500,larceny,ROBBERY
501,robbery,ROBBERY
502,larceny,ROBBERY
503,aggravated-assault,ASSAULT
504,larceny,ROBBERY
505,larceny,ROBBERY
506,larceny,ROBBERY
507,larceny,ROBBERY
508,larceny,ROBBERY
509,larceny,ROBBERY
510,aggravated-assault,ROBBERY
511,larceny,ROBBERY
512,larceny,ROBBERY
513,larceny,ROBBERY
514,larceny,ROBBERY
515,larceny,ROBBERY
516,aggravated-assault,ASSAULT
517,larceny,ROBBERY
518,larceny,ROBBERY
519,larceny,ROBBERY
520,larceny,ROBBERY
521,larceny,ROBBERY
522,robbery,ROBBERY
523,aggravated-assault,ASSAULT
524,larceny,ROBBERY
525,larceny,ROBBERY
526,robbery,ROBBERY
527,robbery,ROBBERY
528,larceny,ROBBERY
529,larceny,ROBBERY
530,larceny,ROBBERY
531,larceny,ROBBERY
532,larceny,ROBBERY
533,larceny,ROBBERY
534,larceny,ROBBERY
535,larceny,ROBBERY
536,aggravated-assault,ASSAULT
537,larceny,ROBBERY
538,robbery,ROBBERY
539,robbery,ROBBERY
540,larceny,ROBBERY
541,aggravated-assault,ROBBERY
542,larceny,ROBBERY
543,larceny,ROBBERY
544,larceny,ROBBERY
545,larceny,ROBBERY
546,larceny,ROBBERY
547,larceny,ROBBERY
548,larceny,ROBBERY
549,larceny,ROBBERY
550,larceny,ROBBERY
551,aggravated-assault,ASSAULT
552,larceny,ROBBERY
553,larceny,ROBBERY
554,larceny,ROBBERY
555,larceny,ROBBERY
556,larceny,ROBBERY
557,larceny,ROBBERY
558,larceny,ROBBERY
559,aggravated-assault,ROBBERY
560,larceny,ROBBERY
561,aggravated-assault,ASSAULT
562,larceny,ROBBERY
563,larceny,ROBBERY
564,larceny,ROBBERY
565,larceny,ROBBERY
566,aggravated-assault,ASSAULT
567,larceny,ROBBERY
568,larceny,ROBBERY
569,robbery,ROBBERY
570,larceny,ROBBERY
571,larceny,ROBBERY
572,larceny,ROBBERY
573,larceny,ROBBERY
574,larceny,ROBBERY
575,larceny,ROBBERY
576,larceny,ROBBERY
577,murder,ROBBERY
578,larceny,ROBBERY
579,aggravated-assault,ROBBERY
580,larceny,ROBBERY
581,larceny,ROBBERY
582,robbery,ROBBERY
583,larceny,ROBBERY
584,larceny,ROBBERY
585,larceny,ROBBERY
586,aggravated-assault,ASSAULT
587,robbery,ROBBERY
588,aggravated-assault,ROBBERY
589,aggravated-assault,ROBBERY
590,larceny,ROBBERY
591,larceny,ROBBERY
592,larceny,ROBBERY
593,larceny,ROBBERY
594,larceny,ROBBERY
595,larceny,ROBBERY
596,larceny,ROBBERY
597,aggravated-assault,ASSAULT
598,larceny,ROBBERY
599,larceny,ROBBERY
600,robbery,ROBBERY
601,larceny,ROBBERY
602,larceny,ROBBERY
603,robbery,ROBBERY
604,larceny,ROBBERY
605,larceny,ROBBERY
606,larceny,ROBBERY
607,robbery,ROBBERY
608,robbery,ROBBERY
609,larceny,ROBBERY
610,larceny,ROBBERY
611,larceny,ROBBERY
612,larceny,ROBBERY
613,larceny,ROBBERY
614,larceny,ROBBERY
615,larceny,ROBBERY
616,larceny,ROBBERY
617,larceny,ROBBERY
618,larceny,ROBBERY
619,larceny,ROBBERY
620,aggravated-assault,ROBBERY
621,larceny,ROBBERY
622,robbery,ROBBERY
623,larceny,ROBBERY
624,larceny,ROBBERY
625,larceny,ROBBERY
626,aggravated-assault,ASSAULT
627,larceny,ROBBERY
628,larceny,ROBBERY
629,aggravated-assault,ROBBERY
630,larceny,ROBBERY
631,larceny,ROBBERY
632,larceny,ROBBERY
633,larceny,ROBBERY
634,larceny,ROBBERY
635,aggravated-assault,ROBBERY
636,larceny,ROBBERY
637,aggravated-assault,ROBBERY
638,larceny,ROBBERY
639,larceny,ROBBERY
640,larceny,ROBBERY
641,larceny,ROBBERY
642,robbery,ROBBERY
643,larceny,ROBBERY
644,aggravated-assault,ROBBERY
645,larceny,ROBBERY
646,aggravated-assault,ROBBERY
647,larceny,ROBBERY
648,larceny,ROBBERY
649,murder,ROBBERY
650,aggravated-assault,ASSAULT
651,larceny,ROBBERY
652,larceny,ROBBERY
653,larceny,ROBBERY
654,aggravated-assault,ASSAULT
655,larceny,ROBBERY
656,aggravated-assault,ROBBERY
657,aggravated-assault,ASSAULT
658,robbery,ROBBERY
659,larceny,ROBBERY
660,larceny,ROBBERY
661,larceny,ROBBERY
662,larceny,ROBBERY
663,larceny,ROBBERY
664,larceny,ROBBERY
665,larceny,ROBBERY
666,larceny,ROBBERY
667,larceny,ROBBERY
668,larceny,ROBBERY
669,larceny,ROBBERY
670,larceny,ROBBERY
671,larceny,ROBBERY
672,larceny,ROBBERY
673,robbery,ROBBERY
674,larceny,ROBBERY
675,larceny,ROBBERY
676,aggravated-assault,ASSAULT
677,robbery,ROBBERY
678,larceny,ROBBERY
679,larceny,ROBBERY
680,larceny,ROBBERY
681,aggravated-assault,ROBBERY
682,larceny,ROBBERY
683,aggravated-assault,ROBBERY
684,larceny,ROBBERY
685,larceny,ROBBERY
686,aggravated-assault,ASSAULT
687,larceny,ROBBERY
688,larceny,ROBBERY
689,aggravated-assault,ROBBERY
690,larceny,ROBBERY
691,larceny,ROBBERY
692,aggravated-assault,ASSAULT
693,aggravated-assault,ROBBERY
694,larceny,ROBBERY
695,robbery,ROBBERY
696,larceny,ROBBERY
697,larceny,ROBBERY
698,larceny,ROBBERY
699,larceny,ROBBERY
700,robbery,ROBBERY
701,larceny,ROBBERY
702,larceny,ROBBERY
703,larceny,ROBBERY
704,larceny,ROBBERY
705,larceny,ROBBERY
706,robbery,ROBBERY
707,larceny,ROBBERY
708,aggravated-assault,ASSAULT
709,aggravated-assault,ASSAULT
710,larceny,ROBBERY
711,larceny,ROBBERY
712,larceny,ROBBERY
713,aggravated-assault,ASSAULT
714,larceny,ROBBERY
715,aggravated-assault,ROBBERY
716,larceny,ROBBERY
717,larceny,ROBBERY
718,larceny,ROBBERY
719,larceny,ROBBERY
720,larceny,ROBBERY
721,larceny,ROBBERY
722,larceny,ROBBERY
723,larceny,ROBBERY
724,larceny,ROBBERY
725,larceny,ROBBERY
726,larceny,ROBBERY
727,larceny,ROBBERY
728,larceny,ROBBERY
729,larceny,ROBBERY
730,larceny,ROBBERY
731,larceny,ROBBERY
732,larceny,ROBBERY
733,larceny,ROBBERY
734,aggravated-assault,ASSAULT
735,aggravated-assault,ROBBERY
736,larceny,ROBBERY
737,aggravated-assault,ASSAULT
738,larceny,ROBBERY
739,larceny,ROBBERY
740,robbery,ROBBERY
741,larceny,ROBBERY
742,larceny,ROBBERY
743,aggravated-assault,ROBBERY
744,robbery,ROBBERY
745,larceny,ROBBERY
746,larceny,ROBBERY
747,larceny,ROBBERY
748,larceny,ROBBERY
749,larceny,ROBBERY
750,larceny,ROBBERY
751,larceny,ROBBERY
752,larceny,ROBBERY
753,larceny,ROBBERY
754,larceny,ROBBERY
755,larceny,ROBBERY
756,larceny,ROBBERY
757,larceny,ROBBERY
758,robbery,ROBBERY
759,larceny,ROBBERY
760,robbery,ROBBERY
761,aggravated-assault,ROBBERY
762,robbery,ROBBERY
763,larceny,ROBBERY
764,larceny,ROBBERY
765,robbery,ROBBERY
766,larceny,ROBBERY
767,aggravated-assault,ASSAULT
768,larceny,ROBBERY
769,aggravated-assault,ROBBERY
770,larceny,ROBBERY
771,larceny,ROBBERY
772,larceny,ROBBERY
773,robbery,ROBBERY
774,larceny,ROBBERY
775,larceny,ROBBERY
776,aggravated-assault,ROBBERY
777,larceny,ROBBERY
778,larceny,ROBBERY
779,larceny,ROBBERY
780,larceny,ROBBERY
781,larceny,ROBBERY
782,larceny,ROBBERY
783,larceny,ROBBERY
784,larceny,ROBBERY
785,aggravated-assault,ASSAULT
786,aggravated-assault,ROBBERY
787,larceny,ROBBERY
788,larceny,ROBBERY
789,aggravated-assault,ROBBERY
790,aggravated-assault,ASSAULT
791,larceny,ROBBERY
792,aggravated-assault,ROBBERY
793,robbery,ROBBERY
794,larceny,ROBBERY
795,larceny,ROBBERY
796,larceny,ROBBERY
797,larceny,ROBBERY
798,larceny,ROBBERY
799,larceny,ROBBERY
800,larceny,ROBBERY
801,larceny,ROBBERY
802,larceny,ROBBERY
803,larceny,ROBBERY
804,larceny,ROBBERY
805,larceny,ROBBERY
806,robbery,ROBBERY
807,larceny,ROBBERY
808,aggravated-assault,ROBBERY
809,aggravated-assault,ASSAULT
810,larceny,ROBBERY
811,larceny,ROBBERY
812,larceny,ROBBERY
813,larceny,ROBBERY
814,larceny,ROBBERY
815,larceny,ROBBERY
816,larceny,ROBBERY
817,larceny,ROBBERY
818,larceny,ROBBERY
819,larceny,ROBBERY
820,larceny,ROBBERY
821,aggravated-assault,ASSAULT
822,larceny,ROBBERY
823,aggravated-assault,ASSAULT
824,larceny,ROBBERY
825,larceny,ROBBERY
826,robbery,ROBBERY
827,larceny,ROBBERY
828,larceny,ROBBERY
829,larceny,ROBBERY
830,larceny,ROBBERY
831,larceny,ROBBERY
832,larceny,ROBBERY
833,larceny,ROBBERY
834,larceny,ROBBERY
835,larceny,ROBBERY
836,aggravated-assault,ASSAULT
837,aggravated-assault,ROBBERY
838,larceny,ROBBERY
839,larceny,ROBBERY
840,larceny,ROBBERY
841,aggravated-assault,ASSAULT
842,larceny,ROBBERY
843,larceny,ROBBERY
844,aggravated-assault,ROBBERY
845,larceny,ROBBERY
846,aggravated-assault,ROBBERY
847,larceny,ROBBERY
848,larceny,ROBBERY
849,larceny,ROBBERY
850,aggravated-assault,ASSAULT
851,aggravated-assault,ASSAULT
852,robbery,ROBBERY
853,aggravated-assault,ROBBERY
854,robbery,ROBBERY
855,aggravated-assault,ROBBERY
856,larceny,ROBBERY
857,larceny,ROBBERY
858,larceny,ROBBERY
859,larceny,ROBBERY
860,robbery,ROBBERY
861,aggravated-assault,ASSAULT
862,robbery,ROBBERY
863,larceny,ROBBERY
864,aggravated-assault,ASSAULT
865,larceny,ROBBERY
866,larceny,ROBBERY
867,robbery,ROBBERY
868,larceny,ROBBERY
869,larceny,ROBBERY
870,larceny,ROBBERY
871,aggravated-assault,ASSAULT
872,robbery,ROBBERY
873,larceny,ROBBERY
874,larceny,ROBBERY
875,larceny,ROBBERY
876,larceny,ROBBERY
877,larceny,ROBBERY
878,robbery,ROBBERY
879,larceny,ROBBERY
880,larceny,ROBBERY
881,larceny,ROBBERY
882,murder,ROBBERY
883,larceny,ROBBERY
884,larceny,ROBBERY
885,robbery,ROBBERY
886,larceny,ROBBERY
887,larceny,ROBBERY
888,larceny,ROBBERY
889,larceny,ROBBERY
890,aggravated-assault,ASSAULT
891,larceny,ROBBERY
892,larceny,ROBBERY
893,larceny,ROBBERY
894,aggravated-assault,ASSAULT
895,larceny,ROBBERY
896,aggravated-assault,ROBBERY
897,larceny,ROBBERY
898,robbery,ROBBERY
899,larceny,ROBBERY
900,larceny,ROBBERY
901,larceny,ROBBERY
902,larceny,ROBBERY
903,larceny,ROBBERY
904,larceny,ROBBERY
905,aggravated-assault,ROBBERY
906,larceny,ROBBERY
907,larceny,ROBBERY
908,larceny,ROBBERY
909,larceny,ROBBERY
910,larceny,ROBBERY
911,aggravated-assault,ROBBERY
912,larceny,ROBBERY
913,larceny,ROBBERY
914,larceny,ROBBERY
915,larceny,ROBBERY
916,larceny,ROBBERY
917,aggravated-assault,ROBBERY
918,robbery,ROBBERY
919,larceny,ROBBERY
920,aggravated-assault,ROBBERY
921,larceny,ROBBERY
922,robbery,ROBBERY
923,larceny,ROBBERY
924,aggravated-assault,ASSAULT
925,larceny,ROBBERY
926,larceny,ROBBERY
927,larceny,ROBBERY
928,larceny,ROBBERY
929,larceny,ROBBERY
930,larceny,ROBBERY
931,larceny,ROBBERY
932,larceny,ROBBERY
933,larceny,ROBBERY
934,larceny,ROBBERY
935,robbery,ROBBERY
936,aggravated-assault,ROBBERY
937,larceny,ROBBERY
938,larceny,ROBBERY
939,larceny,ROBBERY
940,larceny,ROBBERY
941,larceny,ROBBERY
942,larceny,ROBBERY
943,larceny,ROBBERY
944,aggravated-assault,ROBBERY
945,larceny,ROBBERY
946,larceny,ROBBERY
947,larceny,ROBBERY
948,larceny,ROBBERY
949,larceny,ROBBERY
950,larceny,ROBBERY
951,larceny,ROBBERY
952,larceny,ROBBERY
953,larceny,ROBBERY
954,robbery,ROBBERY
955,larceny,ROBBERY
956,larceny,ROBBERY
957,larceny,ROBBERY
958,robbery,ROBBERY
959,larceny,ROBBERY
960,aggravated-assault,ASSAULT
961,aggravated-assault,ASSAULT
962,larceny,ROBBERY
963,larceny,ROBBERY
964,larceny,ROBBERY
965,aggravated-assault,ASSAULT
966,larceny,ROBBERY
967,larceny,ROBBERY
968,larceny,ROBBERY
969,larceny,ROBBERY
970,larceny,ROBBERY
971,larceny,ROBBERY
972,larceny,ROBBERY
973,larceny,ROBBERY
974,larceny,ROBBERY
975,larceny,ROBBERY
976,larceny,ROBBERY
977,larceny,ROBBERY
978,aggravated-assault,ROBBERY
979,larceny,ROBBERY
980,robbery,ROBBERY
981,aggravated-assault,ASSAULT
982,larceny,ROBBERY
983,robbery,ROBBERY
984,larceny,ROBBERY
985,larceny,ROBBERY
986,larceny,ROBBERY
987,larceny,ROBBERY
988,larceny,ROBBERY
989,larceny,ROBBERY
990,larceny,ROBBERY
991,larceny,ROBBERY
992,larceny,ROBBERY
993,larceny,ROBBERY
994,larceny,ROBBERY
995,larceny,ROBBERY
996,larceny,ROBBERY
997,larceny,ROBBERY
998,larceny,ROBBERY
999,larceny,ROBBERY
1000,larceny,ROBBERY
1001,larceny,ROBBERY
1002,larceny,ROBBERY
1003,larceny,ROBBERY
1004,aggravated-assault,ROBBERY
1005,aggravated-assault,ASSAULT
1006,larceny,ROBBERY
1007,aggravated-assault,ROBBERY
1008,larceny,ROBBERY
1009,aggravated-assault,ROBBERY
1010,larceny,ROBBERY
1011,larceny,ROBBERY
1012,larceny,ROBBERY
1013,aggravated-assault,ASSAULT
1014,larceny,ROBBERY
1015,larceny,ROBBERY
1016,larceny,ROBBERY
1017,larceny,ROBBERY
1018,larceny,ROBBERY
1019,larceny,ROBBERY
1020,larceny,ROBBERY
1021,larceny,ROBBERY
1022,larceny,ROBBERY
1023,robbery,ROBBERY
1024,aggravated-assault,ASSAULT
1025,larceny,ROBBERY
1026,aggravated-assault,ASSAULT
